,Unnamed: 0,Run,SPX_best,SPX_Function_Evaluations,Midx_best,Midx_Function_Evaluations,BLX_0.0_best,BLX_0.0_Function_Evaluations,Unnamed: 0,Run,SPX_best,SPX_Function_Evaluations,Midx_best,Midx_Function_Evaluations,BLX_0.0_best,BLX_0.0_Function_Evaluations,Unnamed: 0,Run,SPX_best,SPX_Function_Evaluations,Midx_best,Midx_Function_Evaluations,BLX_0.0_best,BLX_0.0_Function_Evaluations,Unnamed: 0,Run,SPX_best,SPX_Function_Evaluations,Midx_best,Midx_Function_Evaluations,BLX_0.0_best,BLX_0.0_Function_Evaluations
30,30,30,0.997542939626146,128,0.9975438334350868,80,0.9975420988734672,85,30,30,0.9975409963095508,568,0.9975404676762528,130,0.9975437875929488,106,30,30,0.9975401342734019,1323,0.9975440800866257,2627,0.997543838000164,470,30,30,0.9975436271950534,1614,0.9975415293900384,445,0.997544139524672,1620
31,31,31,0.9975418371414456,132,0.9975435830930164,44,0.9975434573685408,50,31,31,0.9975418648164014,103,0.9975424161720642,98,0.997542495256432,167,31,31,0.9974573729013988,4000,0.9975425591541758,1511,0.9975367489616176,4000,31,31,0.9975441026189482,2769,0.9975404082501044,1504,0.9975439857699367,2171
32,32,32,0.9975439378844086,83,0.9975416577802964,92,0.9975416820420648,49,32,32,0.9975409634323292,81,0.997542399494165,64,0.9975441314874676,64,32,32,0.9975400132970492,1739,0.9975434321831456,3452,0.9975401245488742,190,32,32,0.9975436972900013,2633,0.9975428601638908,3120,0.997543667309046,484
33,33,33,0.9975430377139258,134,0.9975403534388664,65,0.9975400692851784,58,33,33,0.9975427433140768,119,0.9975439187085032,45,0.997540068878198,34,33,33,0.9975406061266,3239,0.9975439493778644,1112,0.9975436822861704,3606,33,33,0.9975270286454592,4000,0.9975263596965924,4000,0.9975440892085791,433
34,34,34,0.9975426538965224,119,0.99754289677112,155,0.9975434524566568,56,34,34,0.9975441165821322,451,0.9975411930894276,131,0.997543293826044,58,34,34,0.9975439269395951,3701,0.9975441245830466,3823,0.9975425973985316,2698,34,34,0.99754414148323,1309,0.9975423590929616,1820,0.997543927198859,243
35,35,35,0.9975408638414216,107,0.9975401394592418,37,0.9975400598740536,106,35,35,0.9975435012196164,110,0.9975405266146335,108,0.9975413005476244,196,35,35,0.9975440687426826,3249,0.9975435165286812,3471,0.9975408122980682,2655,35,35,0.9975405555282724,1189,0.9975439515654572,1495,0.9975437494665442,860
36,36,36,0.9975408245256242,190,0.9975440687225076,98,0.9975420138396388,98,36,36,0.9975440930454014,215,0.997543934955875,90,0.9975405064109624,98,36,36,0.9975187471382629,4000,0.9975394119316284,4000,0.9975408725878055,3517,36,36,0.9975432537213708,1635,0.9975428804322932,1089,0.9975439884190852,1312
37,37,37,0.9975413182760716,155,0.9975440847467704,87,0.9975434750880164,36,37,37,0.9975439311803552,71,0.997540256417584,42,0.9975441403259092,85,37,37,0.997540169891436,3288,0.9975435100140508,2287,0.9975440640322109,2260,37,37,0.9975424050103928,2104,0.99754277510056,1318,0.9975414966440991,1427
38,38,38,0.9975439252838012,181,0.997540035187548,30,0.9975439893472536,49,38,38,0.997543550315248,110,0.9975431043304008,189,0.9975420693879816,73,38,38,0.997540304573455,1175,0.9975440957688866,2220,0.9975338321387752,4000,38,38,0.9975401174905972,1569,0.9975432997767308,1030,0.9975437690915134,981
39,39,39,0.9975419177504232,205,0.99754414177615,103,0.9975423849923406,62,39,39,0.9975431817582256,151,0.997543043090216,177,0.9975431364132332,60,39,39,0.99752351700152,4000,0.9975419648326459,1076,0.9975441239920612,1247,39,39,0.9975434250625574,3436,0.997544141828496,1301,0.9975409046406908,950
40,40,40,0.9975436759846196,60,0.9975418812862756,85,0.9975414675891728,62,40,40,0.9975439813922784,212,0.9975434808513356,67,0.9975440891963094,122,40,40,0.9975348478825551,4000,0.9975400797133768,2050,0.9975057554911588,4000,40,40,0.9975437006861908,1599,0.9975441345172372,532,0.9975419629926384,867
41,41,41,0.9975433811022009,68,0.997544111943132,107,0.997541895406986,37,41,41,0.9975441112555375,174,0.9975422922281983,80,0.9975418904537486,63,41,41,0.9975424322478296,1789,0.9975422715556534,2923,0.997543067411067,3910,41,41,0.9975439198237768,1528,0.9975440862730762,465,0.997542711431258,535
42,42,42,0.9975417230128812,104,0.9975432575600192,47,0.9975438949751474,56,42,42,0.9975439687146428,136,0.9975441263566884,235,0.997543472545241,167,42,42,0.9975273863084272,4000,0.9975407977047346,520,0.9975432282589236,2751,42,42,0.9975404378340152,2668,0.9975411118429582,1667,0.9975441289897332,3630
43,43,43,0.9975434428931288,120,0.9975440621335531,109,0.9975435494581016,69,43,43,0.9975424037977356,101,0.9975435096845112,61,0.9975430091635356,69,43,43,0.997543555539075,2730,0.9975440240406652,1451,0.9975441398770408,2119,43,43,0.9975422039819516,1750,0.9975440667847976,487,0.9975431962240356,799
44,44,44,0.9975441392373051,119,0.9975413153680266,31,0.9975400192898524,59,44,44,0.9975401126354266,108,0.9975439785610488,160,0.9975441230908246,92,44,44,0.997542558860806,1012,0.9975415113875308,2067,0.9975407395577762,2676,44,44,0.9975414583374828,1913,0.997540027553106,2966,0.9975412521165588,2465
45,45,45,0.99754000068507,159,0.9975437098548282,39,0.9975438719294828,101,45,45,0.9975441417446416,91,0.9975441321664352,80,0.997544066236107,112,45,45,0.9975438758293772,1609,0.9975438235718612,3630,0.9975440715051764,2151,45,45,0.9975410317720388,1393,0.9975434575513829,3794,0.9975408353979665,427
46,46,46,0.9975422164507964,200,0.9975438164931256,93,0.9975437713407168,69,46,46,0.9975427846474576,184,0.9975441388149168,118,0.9975406471786171,70,46,46,0.9975379728443708,4000,0.997543785598727,1590,0.99753558944737,4000,46,46,0.9975440465960864,2807,0.9975401245002492,1541,0.9975430806984842,2728
47,47,47,0.997540935298146,128,0.9975406698357654,76,0.9975440181715955,34,47,47,0.9975422720305309,178,0.997542424590614,91,0.9975423284306348,112,47,47,0.9975310802103208,4000,0.9975431478331382,693,0.9975427484832884,3846,47,47,0.99754399741775,1880,0.9975426611704644,2455,0.9975436959309296,2432
48,48,48,0.9975437860047672,84,0.9975435098917138,86,0.99754247146426,80,48,48,0.997543991086464,141,0.9975408596358616,86,0.9975404277142456,170,48,48,0.9975312087457604,4000,0.9975441315261122,2234,0.9975174226252884,4000,48,48,0.9975438078849332,326,0.9975440795729226,3149,0.9975434757183296,1480
49,49,49,0.9975435377095928,87,0.9975405603858588,118,0.9975414908513612,95,49,49,0.9975406081698508,107,0.9975427357010462,46,0.9975422167357488,77,49,49,0.9975414119288928,2980,0.9975313813774358,4000,0.9975424945024272,1071,49,49,0.9975439635558284,1499,0.9975411764123291,579,0.9975415879849296,1043
